City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,303.13,89,52,4.47,EC,1689700333
1,freetown,8.484,-13.2299,299.35,82,100,3.55,SL,1689700334
2,rio grande,-32.035,-52.0986,286.21,63,64,4.44,BR,1689700334
3,port-aux-francais,-49.35,70.2167,278.26,84,83,17.62,TF,1689700334
4,edinburgh of the seven seas,-37.0676,-12.3116,287.37,96,100,11.72,SH,1689700334
5,aioun,16.6614,-9.6149,311.08,29,89,2.02,MR,1689700336
6,east london,-33.0153,27.9116,289.67,82,0,4.12,ZA,1689700305
7,blackmans bay,-43.0167,147.3167,279.67,70,34,6.21,AU,1689700336
8,bredasdorp,-34.5322,20.0403,284.75,84,64,9.05,ZA,1689700336
9,olonkinbyen,70.9221,-8.7187,277.62,94,52,8.62,SJ,1689700337
10,balcarce,-37.8462,-58.2552,284.48,53,1,0.89,AR,1689700337
11,bilibino,68.0546,166.4372,288.64,76,14,0.71,RU,1689700337
12,baud,20.8333,84.3167,300.03,90,77,1.64,IN,1689700337
13,nova vicosa,-17.8919,-39.3719,300.07,62,52,5.77,BR,1689700338
14,puerto natales,-51.7236,-72.4875,275.4,55,75,1.54,CL,1689700338
15,kismayo,-0.3582,42.5454,298.33,81,15,7.09,SO,1689700338
16,tralee,52.2704,-9.7026,292.29,72,40,3.6,IE,1689700339
17,college,64.8569,-147.8028,290.12,84,100,1.54,US,1689700255
18,adamstown,-25.066,-130.1015,294.18,79,90,4.23,PN,1689700339
19,ushuaia,-54.8,-68.3,276.94,89,100,2.17,AR,1689700339
20,port blair,11.6667,92.75,302.17,84,75,4.63,IN,1689700340
21,vila velha,-20.3297,-40.2925,305.12,43,0,4.63,BR,1689700340
22,st. john's,47.5649,-52.7093,302.19,77,75,9.26,CA,1689700200
23,banjarmasin,-3.3244,114.591,300.23,92,35,1.59,ID,1689700241
24,whitehorse,60.7161,-135.0538,288.2,73,100,0.64,CA,1689700258
